period,count_member_states,member_state,start_date,end_date,votes,total_votes
1,6,France,1958-01-01,1973-01-01,4,17
1,6,Germany,1958-01-01,1973-01-01,4,17
1,6,Italy,1958-01-01,1973-01-01,4,17
1,6,Belgium,1958-01-01,1973-01-01,2,17
1,6,Netherlands,1958-01-01,1973-01-01,2,17
1,6,Luxembourg,1958-01-01,1973-01-01,1,17
2,9,France,1973-01-01,1981-01-01,10,58
2,9,Germany,1973-01-01,1981-01-01,10,58
2,9,Italy,1973-01-01,1981-01-01,10,58
2,9,United Kingdom,1973-01-01,1981-01-01,10,58
2,9,Belgium,1973-01-01,1981-01-01,5,58
2,9,Netherlands,1973-01-01,1981-01-01,5,58
2,9,Denmark,1973-01-01,1981-01-01,3,58
2,9,Ireland,1973-01-01,1981-01-01,3,58
2,9,Luxembourg,1973-01-01,1981-01-01,2,58
3,10,France,1981-01-01,1986-01-01,10,63
3,10,Germany,1981-01-01,1986-01-01,10,63
3,10,Italy,1981-01-01,1986-01-01,10,63
3,10,United Kingdom,1981-01-01,1986-01-01,10,63
3,10,Belgium,1981-01-01,1986-01-01,5,63
3,10,Greece,1981-01-01,1986-01-01,5,63
3,10,Netherlands,1981-01-01,1986-01-01,5,63
3,10,Denmark,1981-01-01,1986-01-01,3,63
3,10,Ireland,1981-01-01,1986-01-01,3,63
3,10,Luxembourg,1981-01-01,1986-01-01,2,63
4,12,France,1986-01-01,1995-01-01,10,76
4,12,Germany,1986-01-01,1995-01-01,10,76
4,12,Italy,1986-01-01,1995-01-01,10,76
4,12,United Kingdom,1986-01-01,1995-01-01,10,76
4,12,Spain,1986-01-01,1995-01-01,8,76
4,12,Belgium,1986-01-01,1995-01-01,5,76
4,12,Greece,1986-01-01,1995-01-01,5,76
4,12,Netherlands,1986-01-01,1995-01-01,5,76
4,12,Portugal,1986-01-01,1995-01-01,5,76
4,12,Denmark,1986-01-01,1995-01-01,3,76
4,12,Ireland,1986-01-01,1995-01-01,3,76
4,12,Luxembourg,1986-01-01,1995-01-01,2,76
5,15,France,1995-01-01,2003-02-01,10,87
5,15,Germany,1995-01-01,2003-02-01,10,87
5,15,Italy,1995-01-01,2003-02-01,10,87
5,15,United Kingdom,1995-01-01,2003-02-01,10,87
5,15,Spain,1995-01-01,2003-02-01,8,87
5,15,Belgium,1995-01-01,2003-02-01,5,87
5,15,Greece,1995-01-01,2003-02-01,5,87
5,15,Netherlands,1995-01-01,2003-02-01,5,87
5,15,Portugal,1995-01-01,2003-02-01,5,87
5,15,Austria,1995-01-01,2003-02-01,4,87
5,15,Sweden,1995-01-01,2003-02-01,4,87
5,15,Denmark,1995-01-01,2003-02-01,3,87
5,15,Finland,1995-01-01,2003-02-01,3,87
5,15,Ireland,1995-01-01,2003-02-01,3,87
5,15,Luxembourg,1995-01-01,2003-02-01,2,87
6,15,France,2003-02-01,2004-05-01,29,252
6,15,Germany,2003-02-01,2004-05-01,29,252
6,15,Italy,2003-02-01,2004-05-01,29,252
6,15,United Kingdom,2003-02-01,2004-05-01,29,252
6,15,Belgium,2003-02-01,2004-05-01,27,252
6,15,Spain,2003-02-01,2004-05-01,27,252
6,15,Netherlands,2003-02-01,2004-05-01,13,252
6,15,Greece,2003-02-01,2004-05-01,12,252
6,15,Portugal,2003-02-01,2004-05-01,12,252
6,15,Austria,2003-02-01,2004-05-01,10,252
6,15,Sweden,2003-02-01,2004-05-01,10,252
6,15,Denmark,2003-02-01,2004-05-01,7,252
6,15,Finland,2003-02-01,2004-05-01,7,252
6,15,Ireland,2003-02-01,2004-05-01,7,252
6,15,Luxembourg,2003-02-01,2004-05-01,4,252
7,25,France,2004-05-01,2007-01-01,29,321
7,25,Germany,2004-05-01,2007-01-01,29,321
7,25,Italy,2004-05-01,2007-01-01,29,321
7,25,United Kingdom,2004-05-01,2007-01-01,29,321
7,25,Poland,2004-05-01,2007-01-01,27,321
7,25,Spain,2004-05-01,2007-01-01,27,321
7,25,Netherlands,2004-05-01,2007-01-01,13,321
7,25,Belgium,2004-05-01,2007-01-01,12,321
7,25,Czech Republic,2004-05-01,2007-01-01,12,321
7,25,Greece,2004-05-01,2007-01-01,12,321
7,25,Hungary,2004-05-01,2007-01-01,12,321
7,25,Portugal,2004-05-01,2007-01-01,12,321
7,25,Austria,2004-05-01,2007-01-01,10,321
7,25,Sweden,2004-05-01,2007-01-01,10,321
7,25,Denmark,2004-05-01,2007-01-01,7,321
7,25,Finland,2004-05-01,2007-01-01,7,321
7,25,Ireland,2004-05-01,2007-01-01,7,321
7,25,Lithuania,2004-05-01,2007-01-01,7,321
7,25,Slovakia,2004-05-01,2007-01-01,7,321
7,25,Cyprus,2004-05-01,2007-01-01,4,321
7,25,Estonia,2004-05-01,2007-01-01,4,321
7,25,Latvia,2004-05-01,2007-01-01,4,321
7,25,Luxembourg,2004-05-01,2007-01-01,4,321
7,25,Slovenia,2004-05-01,2007-01-01,4,321
7,25,Malta,2004-05-01,2007-01-01,3,321
8,27,France,2007-01-01,2013-07-01,29,345
8,27,Germany,2007-01-01,2013-07-01,29,345
8,27,Italy,2007-01-01,2013-07-01,29,345
8,27,United Kingdom,2007-01-01,2013-07-01,29,345
8,27,Poland,2007-01-01,2013-07-01,27,345
8,27,Spain,2007-01-01,2013-07-01,27,345
8,27,Romania,2007-01-01,2013-07-01,14,345
8,27,Netherlands,2007-01-01,2013-07-01,13,345
8,27,Belgium,2007-01-01,2013-07-01,12,345
8,27,Czech Republic,2007-01-01,2013-07-01,12,345
8,27,Greece,2007-01-01,2013-07-01,12,345
8,27,Hungary,2007-01-01,2013-07-01,12,345
8,27,Portugal,2007-01-01,2013-07-01,12,345
8,27,Austria,2007-01-01,2013-07-01,10,345
8,27,Bulgaria,2007-01-01,2013-07-01,10,345
8,27,Sweden,2007-01-01,2013-07-01,10,345
8,27,Denmark,2007-01-01,2013-07-01,7,345
8,27,Finland,2007-01-01,2013-07-01,7,345
8,27,Ireland,2007-01-01,2013-07-01,7,345
8,27,Lithuania,2007-01-01,2013-07-01,7,345
8,27,Slovakia,2007-01-01,2013-07-01,7,345
8,27,Cyprus,2007-01-01,2013-07-01,4,345
8,27,Estonia,2007-01-01,2013-07-01,4,345
8,27,Latvia,2007-01-01,2013-07-01,4,345
8,27,Luxembourg,2007-01-01,2013-07-01,4,345
8,27,Slovenia,2007-01-01,2013-07-01,4,345
8,27,Malta,2007-01-01,2013-07-01,3,345
9,28,France,2013-07-01,2014-11-01,29,352
9,28,Germany,2013-07-01,2014-11-01,29,352
9,28,Italy,2013-07-01,2014-11-01,29,352
9,28,United Kingdom,2013-07-01,2014-11-01,29,352
9,28,Poland,2013-07-01,2014-11-01,27,352
9,28,Spain,2013-07-01,2014-11-01,27,352
9,28,Romania,2013-07-01,2014-11-01,14,352
9,28,Netherlands,2013-07-01,2014-11-01,13,352
9,28,Belgium,2013-07-01,2014-11-01,12,352
9,28,Czech Republic,2013-07-01,2014-11-01,12,352
9,28,Greece,2013-07-01,2014-11-01,12,352
9,28,Hungary,2013-07-01,2014-11-01,12,352
9,28,Portugal,2013-07-01,2014-11-01,12,352
9,28,Austria,2013-07-01,2014-11-01,10,352
9,28,Bulgaria,2013-07-01,2014-11-01,10,352
9,28,Sweden,2013-07-01,2014-11-01,10,352
9,28,Croatia,2013-07-01,2014-11-01,7,352
9,28,Denmark,2013-07-01,2014-11-01,7,352
9,28,Finland,2013-07-01,2014-11-01,7,352
9,28,Ireland,2013-07-01,2014-11-01,7,352
9,28,Lithuania,2013-07-01,2014-11-01,7,352
9,28,Slovakia,2013-07-01,2014-11-01,7,352
9,28,Cyprus,2013-07-01,2014-11-01,4,352
9,28,Estonia,2013-07-01,2014-11-01,4,352
9,28,Latvia,2013-07-01,2014-11-01,4,352
9,28,Luxembourg,2013-07-01,2014-11-01,4,352
9,28,Slovenia,2013-07-01,2014-11-01,4,352
9,28,Malta,2013-07-01,2014-11-01,3,352