member_state_id,member_state,member_state_code,iso_alpha_2_code,iso_alpha_3_code,languages,accession_date,accession_year,current_member,exit_date,exit_year,wave_1,wave_2,wave_3,wave_4,wave_5,wave_6,wave_7,wave_8,eu_15,eu_19,eu_10,eu_11,eu_27_old,eu_27_new,eu_28,political_system,federal,unitary,parliamentary,presidential,semi_presidential,republic,constitutional_monarchy,emu,emu_accession_date,emu_accession_year,currency,pre_emu_currency,schengen_area,schengen_date_signed,schengen_year_signed,schengen_date_implemented,schengen_year_implemented,emu_obligated,schengen_obligated,emu_opt_out,schengen_opt_out,csdp_opt_out,cfr_opt_out,afsj_opt_out,nato,oecd,benelux_union,nordic_council,baltic_assembly,visegrad_group
1,Belgium,BE,BE,BEL,"Dutch, French, German",1952-07-23,1952,1,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,federal parliamentary constitutional monarchy,1,0,1,0,0,0,1,1,1999-01-01,1999,euro,franc,1,1985-06-14,1985,1995-03-26,1995,0,0,0,0,0,0,0,1,1,1,0,0,0
2,France,FR,FR,FRA,French,1952-07-23,1952,1,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,unitary semi-presidential republic,0,1,0,0,1,1,0,1,1999-01-01,1999,euro,franc,1,1985-06-14,1985,1995-03-26,1995,0,0,0,0,0,0,0,1,1,0,0,0,0
3,Germany,DE,DE,DEU,German,1952-07-23,1952,1,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,federal parliamentary republic,1,0,1,0,0,1,0,1,1999-01-01,1999,euro,mark,1,1985-06-14,1985,1995-03-26,1995,0,0,0,0,0,0,0,1,1,0,0,0,0
4,Italy,IT,IT,ITA,Italian,1952-07-23,1952,1,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,1999-01-01,1999,euro,lira,1,1990-11-27,1990,1997-10-26,1997,0,0,0,0,0,0,0,1,1,0,0,0,0
5,Luxembourg,LU,LU,LUX,"French, German, Luxembourgish",1952-07-23,1952,1,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,unitary parliamentary constitutional monarchy,0,1,1,0,0,0,1,1,1999-01-01,1999,euro,franc,1,1985-06-14,1985,1995-03-26,1995,0,0,0,0,0,0,0,1,1,1,0,0,0
6,Netherlands,NL,NL,NLD,"Dutch, Frisian",1952-07-23,1952,1,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,unitary parliamentary constitutional monarchy,0,1,1,0,0,0,1,1,1999-01-01,1999,euro,guilder,1,1985-06-14,1985,1995-03-26,1995,0,0,0,0,0,0,0,1,1,1,0,0,0
7,Denmark,DK,DK,DNK,Danish,1973-01-01,1973,1,NA,NA,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,unitary parliamentary constitutional monarchy,0,1,1,0,0,0,1,0,NA,NA,krone,krone,1,1996-12-19,1996,2001-03-25,2001,0,0,1,0,1,0,1,1,1,0,1,0,0
8,Ireland,IE,IE,IRL,"English, Irish",1973-01-01,1973,1,NA,NA,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,1999-01-01,1999,euro,pound,0,NA,NA,NA,NA,0,0,0,1,0,0,1,0,1,0,0,0,0
9,United Kingdom,UK,GB,GBR,English,1973-01-01,1973,0,2020-01-31,2020,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,unitary parliamentary constitutional monarchy,0,1,1,0,0,0,1,0,NA,NA,pound,pound,0,NA,NA,NA,NA,0,0,1,1,0,1,1,1,1,0,0,0,0
10,Greece,EL,GR,GRC,Greek,1981-01-01,1981,1,NA,NA,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,2001-01-01,2001,euro,drachma,1,1992-11-06,1992,2000-01-01,2000,0,0,0,0,0,0,0,1,1,0,0,0,0
11,Portugal,PT,PT,PRT,Portuguese,1986-01-01,1986,1,NA,NA,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,unitary semi-presidential republic,0,1,0,0,1,1,0,1,1999-01-01,1999,euro,escudo,1,1991-06-25,1991,1995-03-26,1995,0,0,0,0,0,0,0,1,1,0,0,0,0
12,Spain,ES,ES,ESP,Spanish,1986-01-01,1986,1,NA,NA,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,unitary parliamentary constitutional monarchy,0,1,1,0,0,0,1,1,1999-01-01,1999,euro,peseta,1,1991-06-25,1991,1995-03-26,1995,0,0,0,0,0,0,0,1,1,0,0,0,0
13,Austria,AT,AT,AUT,German,1995-01-01,1995,1,NA,NA,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,federal parliamentary republic,1,0,1,0,0,1,0,1,1999-01-01,1999,euro,schilling,1,1995-04-28,1995,1997-12-01,1997,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Finland,FI,FI,FIN,"Finnish, Swedish",1995-01-01,1995,1,NA,NA,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,1999-01-01,1999,euro,markka,1,1996-12-19,1996,2001-03-25,2001,0,0,0,0,0,0,0,0,1,0,1,0,0
15,Sweden,SE,SE,SWE,Swedish,1995-01-01,1995,1,NA,NA,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,unitary parliamentary constitutional monarchy,0,1,1,0,0,0,1,0,NA,NA,krona,krona,1,1996-12-19,1996,2001-03-25,2001,1,0,0,0,0,0,0,0,1,0,1,0,0
16,Cyprus,CY,CY,CYP,"Greek, Turkish",2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,unitary presidential republic,0,1,0,1,0,1,0,1,2008-01-01,2008,euro,pound,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Czech Republic,CZ,CZ,CZE,Czech,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,0,NA,NA,koruna,koruna,1,2003-04-16,2003,2007-12-21,2007,1,0,0,0,0,0,0,1,1,0,0,0,1
18,Estonia,EE,EE,EST,Estonian,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,2011-01-01,2011,euro,kroon,1,2003-04-16,2003,2007-12-21,2007,0,0,0,0,0,0,0,1,1,0,0,1,0
19,Hungary,HU,HU,HUN,Hungarian,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,0,NA,NA,forint,forint,1,2003-04-16,2003,2007-12-21,2007,1,0,0,0,0,0,0,1,1,0,0,0,1
20,Latvia,LV,LV,LVA,Latvian,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,2014-01-01,2014,euro,lats,1,2003-04-16,2003,2007-12-21,2007,0,0,0,0,0,0,0,1,1,0,0,1,0
21,Lithuania,LT,LT,LTU,Lithuanian,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,unitary semi-presidential republic,0,1,0,0,1,1,0,1,2015-01-01,2015,euro,litas,1,2003-04-16,2003,2007-12-21,2007,0,0,0,0,0,0,0,1,1,0,0,1,0
22,Malta,MT,MT,MLT,"Maltese, English",2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,2008-01-01,2008,euro,lira,1,2003-04-16,2003,2007-12-21,2007,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Poland,PL,PL,POL,Polish,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,unitary semi-presidential republic,0,1,0,0,1,1,0,0,NA,NA,zloty,zloty,1,2003-04-16,2003,2007-12-21,2007,1,0,0,0,0,1,0,1,1,0,0,0,1
24,Slovakia,SK,SK,SVK,Slovak,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,2009-01-01,2009,euro,koruna,1,2003-04-16,2003,2007-12-21,2007,0,0,0,0,0,0,0,1,1,0,0,0,1
25,Slovenia,SI,SI,SVN,Slovene,2004-05-01,2004,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,1,2007-01-01,2007,euro,tolar,1,2003-04-16,2003,2007-12-21,2007,0,0,0,0,0,0,0,1,1,0,0,0,0
26,Bulgaria,BG,BG,BGR,Bulgarian,2007-01-01,2007,1,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,0,NA,NA,lev,lev,0,NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0
27,Romania,RO,RO,ROU,Romanian,2007-01-01,2007,1,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,unitary semi-presidential republic,0,1,0,0,1,1,0,0,NA,2009,leu,leu,0,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0
28,Croatia,HR,HR,HRV,Croatian,2013-07-01,2013,1,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,unitary parliamentary republic,0,1,1,0,0,1,0,0,NA,NA,kuna,kuna,0,NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0